code,ticker,enabled,group,max_price,note
9509,9509.T,True,TOPIX Mid400,200000,
9513,9513.T,True,TOPIX Mid400,200000,
9531,9531.T,True,TOPIX Mid400,200000,
9532,9532.T,True,TOPIX Mid400,200000,
9533,9533.T,True,TOPIX Mid400,200000,
9602,9602.T,True,TOPIX Mid400,200000,
9616,9616.T,True,TOPIX Mid400,200000,
9627,9627.T,True,TOPIX Mid400,200000,
9684,9684.T,True,TOPIX Mid400,200000,
9697,9697.T,True,TOPIX Mid400,200000,
9706,9706.T,True,TOPIX Mid400,200000,
9719,9719.T,True,TOPIX Mid400,200000,
9735,9735.T,True,TOPIX Large70,200000,
9744,9744.T,True,TOPIX Mid400,200000,
9759,9759.T,True,TOPIX Mid400,200000,
9766,9766.T,True,TOPIX Mid400,200000,
9831,9831.T,True,TOPIX Mid400,200000,
9843,9843.T,True,TOPIX Mid400,200000,
9861,9861.T,True,TOPIX Mid400,200000,
9934,9934.T,True,TOPIX Mid400,200000,
9962,9962.T,True,TOPIX Mid400,200000,
9983,9983.T,True,TOPIX Core30,200000,
9984,9984.T,True,TOPIX Core30,200000,
9987,9987.T,True,TOPIX Mid400,200000,
9989,9989.T,True,TOPIX Mid400,200000,
